Date,Crime Count,Moon Phase,Special,Special Type
8/15/2015,140.0,,,
8/16/2015,114.0,,,
8/17/2015,151.0,,,
8/18/2015,164.0,,,
8/19/2015,114.0,,,
8/2/2015,143.0,,,
8/20/2015,161.0,,,
8/21/2015,160.0,,,
8/22/2015,151.0,First Quarter,n,
8/23/2015,149.0,,,
8/24/2015,138.0,,,
8/25/2015,154.0,,,
8/26/2015,160.0,,,
8/27/2015,152.0,,,
8/28/2015,178.0,,,
8/29/2015,136.0,Full Moon,y,Super Full Moon
8/3/2015,150.0,,,
8/30/2015,135.0,,,
8/31/2015,142.0,,,
8/4/2015,146.0,,,
8/5/2015,136.0,,,
8/6/2015,155.0,Third Quarter,n,
8/7/2015,187.0,,,
8/8/2015,158.0,,,
8/9/2015,146.0,,,
9/1/2015,144.0,,,
9/10/2015,129.0,,,
9/11/2015,157.0,,,
9/12/2015,182.0,New Moon,y,Micro New Moon
9/13/2015,127.0,,,
9/14/2015,141.0,,,
9/15/2015,146.0,,,
9/16/2015,139.0,,,
9/17/2015,146.0,,,
9/18/2015,205.0,,,
9/19/2015,133.0,,,
9/2/2015,150.0,,,
9/20/2015,141.0,,,
9/21/2015,142.0,First Quarter,n,
9/22/2015,139.0,,,
9/23/2015,156.0,,,
9/24/2015,156.0,,,
9/25/2015,161.0,,,
9/26/2015,161.0,,,
9/27/2015,159.0,Full Moon,y,"Super Full Moon, Total Lunar Eclipse"
9/28/2015,158.0,,,
9/29/2015,157.0,,,
9/3/2015,148.0,,,
9/30/2015,174.0,,,
9/4/2015,151.0,,,
9/5/2015,125.0,Third Quarter,n,
9/6/2015,129.0,,,
9/7/2015,148.0,,,
9/8/2015,162.0,,,
9/9/2015,147.0,,,
1/26/2015,,First Quarter,n,
,,,,
