,Moon Phase,Date
80,88.32416666666666,5/7/15
81,15.743750000000004,11/7/15
82,25.26125,10/7/15
83,29.08791666666668,9/7/15
84,85.22708333333334,4/8/15
85,35.03374999999999,8/8/15
86,8.70875,12/8/15
87,82.89708333333333,2/8/15
88,90.10624999999996,1/8/15
89,54.3575,7/8/15
90,63.40333333333334,6/8/15
91,93.44166666666668,3/8/15
92,80.62916666666669,5/8/15
93,9.5525,11/8/15
94,17.38625,10/8/15
95,20.385,9/8/15
96,77.24291666666667,4/9/15
97,25.236666666666665,8/9/15
98,4.094166666666667,12/9/15
99,75.21666666666667,2/9/15
100,83.87541666666667,1/9/15
101,43.00375,7/9/15
102,52.12499999999999,6/9/15
103,87.94291666666666,3/9/15
104,71.35583333333334,5/9/15
105,4.785,11/9/15
106,10.794166666666667,10/9/15
107,13.022916666666662,9/9/15
108,67.9,4/10/15
109,16.738333333333333,8/10/15
110,1.2095833333333337,12/10/15
111,66.48875000000001,2/10/15
112,76.46958333333333,1/10/15
113,32.14499999999999,7/10/15
114,40.70666666666667,6/10/15
115,80.93749999999999,3/10/15
116,60.88249999999999,5/10/15
117,1.6308333333333327,11/10/15
118,5.664583333333334,10/10/15
119,7.19875,9/10/15
120,57.51916666666667,4/11/15
121,9.8275,8/11/15
122,0.27916666666666673,12/11/15
123,56.94125,2/11/15
124,68.10624999999997,1/11/15
125,22.320416666666667,7/11/15
126,29.779166666666654,6/11/15
127,72.60083333333333,3/11/15
128,49.69041666666667,5/11/15
129,0.2475,11/11/15
130,2.1387499999999995,10/11/15
131,3.052916666666667,9/11/15
132,46.51625000000001,4/12/15
133,4.698333333333333,8/12/15
134,1.46125,12/12/15
135,46.85666666666666,2/12/15
136,59.00958333333333,1/12/15
137,13.97625,7/12/15
138,19.946666666666665,6/12/15
139,63.15958333333333,3/12/15
140,38.34416666666665,5/12/15
141,0.7533333333333335,11/12/15
142,0.33125000000000004,10/12/15
143,0.67875,9/12/15
144,35.40208333333333,4/13/15
145,1.4725,8/13/15
146,4.824583333333334,12/13/15
147,36.575833333333335,2/13/15
148,49.425,1/13/15
149,7.4508333333333345,7/13/15
150,11.740000000000006,6/13/15
151,52.89833333333333,3/13/15
152,27.472499999999997,5/13/15
153,3.2075,11/13/15
154,0.315,10/13/15
155,0.11625000000000002,9/13/15
156,24.789166666666667,4/14/15
157,0.19,8/14/15
158,10.32125,12/14/15
159,26.542083333333334,2/14/15
160,39.63333333333333,1/14/15
161,2.9691666666666667,7/14/15
162,5.5791666666666675,6/14/15
163,42.18625,3/14/15
164,17.732499999999995,5/14/15
165,7.597083333333333,11/14/15
166,2.114583333333333,10/14/15
167,1.3595833333333331,9/14/15
168,15.350833333333336,4/15/15
169,0.8200000000000002,8/15/15
170,17.773333333333326,12/15/15
171,17.3,2/15/15
172,29.96875,1/15/15
